organisation,records lost,year   ,Ticker,Stock Price
Epsilon,"3,000,000",2011,,
Sony PSN,"77,000,000",2011,,
US Law Enforcement,"123,461",2011,,
University of Wisconsin - Milwaukee,"73,000",2011,,
Stratfor,"935,000",2011,,
Chinese gaming sites,"10,000,000",2011,,
Southern California Medical-Legal Consultants,"300,000",2011,,
Writerspace.com,"62,000",2011,,
Bethesda Game Studios,"200,000",2011,,
Sega,"1,290,755",2011,,
Citigroup,"210,000",2011,,
Sony Pictures,"1,000,000",2011,,
Accendo Insurance Co. ,"175,350",2011,,
Washington Post,"1,270,000",2011,,
Health Net - IBM,"1,900,000",2011,,
Eisenhower Medical Center,"514,330",2011,,
Spartanburg Regional Healthcare System,"400,000",2011,,
NHS,"8,600,000",2011,,
San Francisco Public Utilities Commission ,"180,000",2011,,
Sony Online Entertainment,"24,600,000",2011,,
Honda Canada,"283,000",2011,,
Massachusetts Government,"210,000",2011,,
Oregon Department of Motor Vehicles,"1,000,000",2011,,
Steam,"35,000,000",2011,,
Restaurant Depot,"200,000",2011,,
Nexon Korea Corp,"13,200,000",2011,,
Nemours Foundation,"1,600,000",2011,,
Sutter Medical Foundation,"4,243,434",2011,,
Tricare,"4,901,432",2011,,
"AvMed, Inc.","1,220,000",2010,,
Blue Cross Blue Shield of Tennessee,"1,023,209",2010,,
US Military,"260,000",2010,,
Gawker.com,"1,500,000",2010,,
"Triple-S Salud, Inc.","398,000",2010,,
Ohio State University,"760,000",2010,,
"Emergency Healthcare Physicians, Ltd.","180,111",2010,,
Colorado government,"105,470",2010,,
AT&T,"114,000",2010,,
Lincoln Medical & Mental Health Center,"130,495",2010,,
Educational Credit Management Corp,"3,300,000",2010,,
US Federal Reserve Bank of Cleveland,"400,000",2010,,
Classified Iraq War documents,"392,000",2010,,
Heartland,"130,000,000",2009,,
US National Guard,"131,000",2009,,
RockYou!,"32,000,000",2009,,
CheckFree Corporation,"5,000,000",2009,,
Network Solutions,"573,000",2009,,
Virginia Prescription Monitoring Program,"531,400",2009,,
University of California Berkeley,"160,000",2009,,
Health Net ,"1,500,000",2009,,
US Military,"76,000,000",2009,,
Compass Bank,"1,000,000",2008,,
Hannaford Brothers Supermarket Chain,"4,200,000",2008,,
University of Miami,"2,100,000",2008,,
BNY Mellon Shareowner Services,"4,500,000",2008,,
Countrywide Financial Corp,"2,500,000",2008,,
UK Home Office,"84,000",2008,,
RBS Worldpay,"1,500,000",2008,,
Auction.co.kr,"18,000,000",2008,,
GS Caltex,"11,100,000",2008,,
AT&T,"113,000",2008,,
Stanford University,"72,000",2008,,
University of Utah Hospitals & Clinics,"2,200,000",2008,,
Chile Ministry Of Education,"6,000,000",2008,,
Texas Lottery,"89,000",2008,,
Starbucks,"97,000",2008,,
UK Ministry of Defence,"1,700,000",2008,,
"T-Mobile, Deutsche Telecom","17,000,000",2008,,
Norwegian Tax Authorities,"3,950,000",2008,,
Service Personnel and Veterans Agency (UK),"50,500",2008,,
Monster.com,"1,600,000",2007,,
Driving Standards Agency,"3,000,000",2007,,
Fidelity National Information Services,"8,500,000",2007,,
City and Hackney Teaching Primary Care Trust,"160,000",2007,,
Gap Inc,"800,000",2007,,
Dai Nippon Printing,"8,637,405",2007,,
TK / TJ Maxx,"94,000,000",2007,,
JP Morgan Chase,"2,600,000",2007,,
UK Revenue & Customs,"25,000,000",2007,,
TD Ameritrade,"6,300,000",2007,,
AOL,"20,000,000",2006,,
US Dept of Vet Affairs,"26,500,000",2006,,
Automatic Data Processing,"125,000",2006,,
KDDI,"4,000,000",2006,,
Hewlett Packard,"200,000",2006,,
Ameritrade Inc.,"200,000",2005,,
Citigroup,"3,900,000",2005,,
Cardsystems Solutions Inc. ,"40,000,000",2005,,
AOL,"92,000,000",2004,,
